placekey,location_name,brand_id,latitude,longitude,tract,county,city
224-222@5q9-s7z-q4v,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,38.523858,-105.98921,08015000200,08015,Salida
224-222@5qb-9yg-zcq,McDonald's,SG_BRAND_5179b21fc1d50950b99b4eecaa48c614,40.120639,-111.639078,49049010304,49049,Spanish Fork
224-222@5qk-j6z-ct9,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,40.335271,-104.90663,08123002102,08123,Johnstown
224-222@5wc-cnt-jy9,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,46.732113,-117.004467,16057005100,16057,Moscow
224-222@5wr-ggq-bkz,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,42.899019,-112.432193,16005001101,16005,Pocatello
224-222@5ws-mk5-j7q,McDonald's,SG_BRAND_5179b21fc1d50950b99b4eecaa48c614,41.492221,-112.016479,49003960701,49003,Brigham City
224-224@5qk-jcs-6kz,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,40.187372,-105.10182,08013013503,08013,Longmont
225-222@5q6-79w-389,McDonald's,SG_BRAND_5179b21fc1d50950b99b4eecaa48c614,39.863124,-105.02458,08001009319,08001,Federal Heights
225-222@5qc-wr5-7wk,McDonald's,SG_BRAND_5179b21fc1d50950b99b4eecaa48c614,40.78429,-111.938402,49035100308,49035,Salt Lake City
225-222@5qc-xtd-btv,McDonald's,SG_BRAND_5179b21fc1d50950b99b4eecaa48c614,40.522807,-111.944816,49035113014,49035,Riverton
225-222@5qd-366-x3q,McDonald's,SG_BRAND_5179b21fc1d50950b99b4eecaa48c614,40.700294,-111.800262,49035110200,49035,Salt Lake City
226-222@5q9-bpz-y35,McDonald's,SG_BRAND_5179b21fc1d50950b99b4eecaa48c614,39.683219,-105.080781,08059011804,08059,Lakewood
